Date,url,code,Company,Description
2016/09/11,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2017/03/11,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2017/11/14,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2018/02/11,accel.com,Accel,Accel,"Accel is dedicated to partnering with outstanding entrepreneurs and management teams to build world-class companies, from inception through growthAccel has helped entrepreneurs build over 300 category-defining companies including: Admob, Brightcove, ComScore, Etsy, Facebook, Foundry, Gameforge, Glam, Groupon, Macromedia, Omneon, MetroPCS, Qliktech, Riverbed, RealNetworks, Veritas, etc"
2014/07/17,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2015/02/17,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2016/03/17,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2016/09/11,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2017/03/11,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2017/11/14,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2018/02/11,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2018/09/11,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2019/07/16,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2019/11/12,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2020/10/13,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2020/10/29,accenture.com,Accenture,Accenture,"Accenture is one of the world’s leading organizations providing management consulting, technology and outsourcing services, with approximately 281,000 employees; offices and operations in more than 200 cities in 56 countries; and net revenues of $28. 6 billion for fiscal 2013.  Accenture Technology Labs, the centralized research and development organization within Accenture, explores new and emerging technologies to create a vision of how technology will shape the future and invent the next wave of cutting-edge business solutions.   "
2011/05/19,adap.tv,Adap.tv ,Adap.tv ,"Adap. TV provides a unique online video advertising platform that allows publishers and advertisers to match relevant advertising with online video content.  The company uses advanced technology to analyze the video, audio, and metadata to serve contextually relevant ads in a viewer-friendly manner.  Adap. tv continues to monitor viewers’ interaction with the ads and adapts in real time to their interests and behavior. "
2011/10/05,adap.tv,Adap.tv ,Adap.tv ,"Adap. TV provides a unique online video advertising platform that allows publishers and advertisers to match relevant advertising with online video content.  The company uses advanced technology to analyze the video, audio, and metadata to serve contextually relevant ads in a viewer-friendly manner.  Adap. tv continues to monitor viewers’ interaction with the ads and adapts in real time to their interests and behavior. "
2012/02/29,adap.tv,Adap.tv ,Adap.tv ,"Adap. tv builds technology that destroys the inefficiencies of television and video advertising.  It delivers a programmatic way to plan, buy, sell and measure across multiple sources, screens and methods of transacting.  Adap. tv is comprised of two operational units – the Adap. tv Platform and the Adap. tv Marketplace.   The Adap. tv Platform provides advertisers, publishers and ad networks with automated ad trading solutions customized to meet any business goal.  As the world’s largest source of video supply and demand, the Adap. tv Marketplace has thousands of sellers and hundreds of campaigns running daily.  Headquartered in San Mateo, Calif. , Adap. tv has offices in New York, Los Angeles, Chicago, Seattle, London and Sydney.  Adap. tv is a privately held company backed by Bessemer Venture Partners, Gemini Israel Funds, Redpoint Ventures and Spark Capital.  For more information, please visit http://adap. tv/.  Follow Adap. tv on Twitter @Adaptv. "
2012/06/26,adap.tv,Adap.tv ,Adap.tv ,"Adap. tv builds technology that destroys the inefficiencies of television and video advertising.  It delivers a programmatic way to plan, buy, sell and measure across multiple sources, screens and methods of transacting.  Adap. tv is comprised of two operational units – the Adap. tv Platform and the Adap. tv Marketplace.   The Adap. tv Platform provides advertisers, publishers and ad networks with automated ad trading solutions customized to meet any business goal.  As the world’s largest source of video supply and demand, the Adap. tv Marketplace has thousands of sellers and hundreds of campaigns running daily.  Headquartered in San Mateo, Calif. , Adap. tv has offices in New York, Los Angeles, Chicago, Seattle, London and Sydney.  Adap. tv is a privately held company backed by Bessemer Venture Partners, Gemini Israel Funds, Redpoint Ventures and Spark Capital.  For more information, please visit http://adap. tv/.  Follow Adap. tv on Twitter @Adaptv. "
2013/05/09,adap.tv,Adap.tv ,Adap.tv ,"Adap. tv builds technology that destroys the inefficiencies of television and video advertising.  It delivers a programmatic way to plan, buy, sell and measure across multiple sources, screens and methods of transacting.  Adap. tv is comprised of two operational units – the Adap. tv Platform and the Adap. tv Marketplace.   The Adap. tv Platform provides advertisers, publishers and ad networks with automated ad trading solutions customized to meet any business goal.  As the world’s largest source of video supply and demand, the Adap. tv Marketplace has thousands of sellers and hundreds of campaigns running daily.  Headquartered in San Mateo, Calif. , Adap. tv has offices in New York, Los Angeles, Chicago, Seattle, London and Sydney.  Adap. tv is a privately held company backed by Bessemer Venture Partners, Gemini Israel Funds, Redpoint Ventures and Spark Capital.  For more information, please visit http://adap. tv/.  Follow Adap. tv on Twitter @Adaptv. "
2014/07/17,adap.tv,Adap.tv ,Adap.tv ,"Adap. tv builds technology that destroys the inefficiencies of television and video advertising.  It delivers a programmatic way to plan, buy, sell and measure across multiple sources, screens and methods of transacting.  Adap. tv is comprised of two operational units – the Adap. tv Platform and the Adap. tv Marketplace.   The Adap. tv Platform provides advertisers, publishers and ad networks with automated ad trading solutions customized to meet any business goal.  As the world’s largest source of video supply and demand, the Adap. tv Marketplace has thousands of sellers and hundreds of campaigns running daily.  Headquartered in San Mateo, Calif. , Adap. tv has offices in New York, Los Angeles, Chicago, Seattle, London and Sydney.  Adap. tv is a privately held company backed by Bessemer Venture Partners, Gemini Israel Funds, Redpoint Ventures and Spark Capital.  For more information, please visit http://adap. tv/.  Follow Adap. tv on Twitter @Adaptv. "
2015/02/17,adap.tv,Adap.tv ,Adap.tv ,"Adap. tv builds technology that destroys the inefficiencies of television and video advertising.  It delivers a programmatic way to plan, buy, sell and measure across multiple sources, screens and methods of transacting.  Adap. tv is comprised of two operational units – the Adap. tv Platform and the Adap. tv Marketplace.   The Adap. tv Platform provides advertisers, publishers and ad networks with automated ad trading solutions customized to meet any business goal.  As the world’s largest source of video supply and demand, the Adap. tv Marketplace has thousands of sellers and hundreds of campaigns running daily.  Headquartered in San Mateo, Calif. , Adap. tv has offices in New York, Los Angeles, Chicago, Seattle, London and Sydney.  Adap. tv is a privately held company backed by Bessemer Venture Partners, Gemini Israel Funds, Redpoint Ventures and Spark Capital.  For more information, please visit http://adap. tv/.  Follow Adap. tv on Twitter @Adaptv. "
2015/11/10,adap.tv,Adap.tv ,Adap.tv ,"Adap. tv builds technology that destroys the inefficiencies of television and video advertising.  It delivers a programmatic way to plan, buy, sell and measure across multiple sources, screens and methods of transacting.  Adap. tv is comprised of two operational units – the Adap. tv Platform and the Adap. tv Marketplace.   The Adap. tv Platform provides advertisers, publishers and ad networks with automated ad trading solutions customized to meet any business goal.  As the world’s largest source of video supply and demand, the Adap. tv Marketplace has thousands of sellers and hundreds of campaigns running daily.  Headquartered in San Mateo, Calif. , Adap. tv has offices in New York, Los Angeles, Chicago, Seattle, London and Sydney.  Adap. tv is a privately held company backed by Bessemer Venture Partners, Gemini Israel Funds, Redpoint Ventures and Spark Capital.  For more information, please visit http://adap. tv/.  Follow Adap. tv on Twitter @Adaptv. "
2013/05/09,addepar.com,Addepar,Addepar,"Addepar is fixing finance.  We’re a team of top technologists building tools and infrastructure in one of the largest and most broken markets in the world.   Our early customers manage billions of dollars and we’re supported by some of the most prestigious investors in the world. Prior to Addepar our early team had already created a mult-billion dollar tech company; we’ve come together to work on something that is collectively larger than what we could have accomplished individually. In addition to building important products to fix finance, we’re focused on building an amazing company.  We cater every meal, provide onsite laundry service, take the team on twice yearly trips, play sports together and even provide a housing stipend so our employees can live close. "
2014/07/17,addepar.com,Addepar,Addepar,"Addepar is fixing finance.  We’re a team of top technologists building tools and infrastructure in one of the largest and most broken markets in the world.   Our early customers manage billions of dollars and we’re supported by some of the most prestigious investors in the world. Prior to Addepar our early team had already created a mult-billion dollar tech company; we’ve come together to work on something that is collectively larger than what we could have accomplished individually. In addition to building important products to fix finance, we’re focused on building an amazing company.  We cater every meal, provide onsite laundry service, take the team on twice yearly trips, play sports together and even provide a housing stipend so our employees can live close. "
2011/05/19,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2011/10/05,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2012/02/29,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2012/06/26,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2013/05/09,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2014/07/17,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2015/02/17,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2015/11/10,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2016/03/17,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2016/09/11,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2017/03/11,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2017/11/14,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2018/02/11,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2018/09/11,adobe.com,Adobe,Adobe,"Adobe  is a diversified software company  offering a line of creative, business and mobile software and services used by creative professionals, knowledge workers, consumers, OEM partners, developers and enterprises for creating, managing, delivering and engaging with content and experiences across multiple operating systems, devices and media. "
2014/07/17,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2015/02/17,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2015/11/10,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2016/03/17,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2016/09/11,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2017/03/11,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2017/11/14,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2018/02/11,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2018/09/11,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2019/07/16,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2019/11/12,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2020/10/13,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2020/10/29,aibrain.com,AIBrain ,AIBrain ,AIBrain is an AI start-up located at Stanford Research Park.  We are currently building a suite of next generation AI breakthrough technologies applicable to a broad range of applications such as cognitive robots and mobile apps for personal health monitoring and assistance.  AIBrain aims to become a world-class AI pioneer in the US as well as in Europe.  
2015/02/17,airbnb.com,Airbnb ,Airbnb ,"Airbnb is the world's largest marketplace for space, and we keep getting bigger every day.  With 10 million nights booked and counting, we're constantly tackling challenges in search algorithms, payments, fraud prevention, and growth — all while maintaining a beautiful user experience.  We want to build solutions to these problems that are scalable, performant, and elegant, and we're looking for talented people to help us do just that."
2015/11/10,airbnb.com,Airbnb ,Airbnb ,"Airbnb is the world's largest marketplace for space, and we keep getting bigger every day.  With 10 million nights booked and counting, we're constantly tackling challenges in search algorithms, payments, fraud prevention, and growth — all while maintaining a beautiful user experience.  We want to build solutions to these problems that are scalable, performant, and elegant, and we're looking for talented people to help us do just that."
2016/03/17,airbnb.com,Airbnb ,Airbnb ,"Airbnb is the world's largest marketplace for space, and we keep getting bigger every day.  With 10 million nights booked and counting, we're constantly tackling challenges in search algorithms, payments, fraud prevention, and growth — all while maintaining a beautiful user experience.  We want to build solutions to these problems that are scalable, performant, and elegant, and we're looking for talented people to help us do just that."
